source,source_description,raw_node_id,raw_label,raw_domain_style,harmonised_node_id,harmonised_node,integrated_domain,mapping_status,mapping_note
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM02,Temperature rise,driver,N01,Ocean warming / temperature rise,Climate and ocean drivers,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM03,Sea level rise,driver,N03,Sea-level rise,Climate and ocean drivers,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM04,Changes in wind pattern,driver,N06,"Cyclones, storm surge and wind shifts",Climate and ocean drivers,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM05,Cyclones,driver,N06,"Cyclones, storm surge and wind shifts",Climate and ocean drivers,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM06,Ocean salinity,driver,N07,Salinity intrusion / salinity change,Coastal hazards and water quality,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM07,Ocean acidification,driver,N02,Ocean acidification,Climate and ocean drivers,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM08,Spring tidal shift,hazard,N03,Sea-level rise,Climate and ocean drivers,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM09,Coastal erosion,hazard,N09,Coastal erosion / beach and shoreline loss,Coastal hazards and water quality,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM10,Sand deposition,hazard,N09,Coastal erosion / beach and shoreline loss,Coastal hazards and water quality,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM11,Sedimentation,hazard,N08,Sedimentation / turbidity,Coastal hazards and water quality,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM12,Coastal forest cover,habitat,N13,Coastal forest condition,Coastal ecosystem condition,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM13,Seagrass cover,habitat,N11,Seagrass condition,Coastal ecosystem condition,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM14,Mangrove cover decline,pressure,N12,Mangrove condition,Coastal ecosystem condition,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM15,Small islands decline,hazard,N09,Coastal erosion / beach and shoreline loss,Coastal hazards and water quality,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM16,Beaches and ruins,benefit,N18,Tourism and cultural attractiveness,Livelihoods and well-being,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM17,Farming activities,pressure,N25,Agricultural / farm expansion,Local human pressures,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM18,Indigenous trees,habitat,N13,Coastal forest condition,Coastal ecosystem condition,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM19,Coral cover decline,pressure,N10,Coral reef condition,Coastal ecosystem condition,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM20,Mangrove,habitat,N12,Mangrove condition,Coastal ecosystem condition,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM21,Mammals and reptiles,benefit,N15,Wildlife and charismatic fauna,Biodiversity and ecological benefits,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM22,Tourism,livelihood,N18,Tourism and cultural attractiveness,Livelihoods and well-being,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM23,Political interference,governance,N27,Governance and enforcement effectiveness,"Governance, responses and resilience",retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM24,Illegal fishing practice,pressure,N22,Illegal / unregulated fishing,Local human pressures,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM25,Coral bleaching,pressure,N10,Coral reef condition,Coastal ecosystem condition,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM26,Bait extraction,pressure,N24,Bait digging / bait extraction,Local human pressures,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM27,Wildlife increase,benefit,N15,Wildlife and charismatic fauna,Biodiversity and ecological benefits,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM28,Employment opportunities,livelihood,N19,Household income / employment,Livelihoods and well-being,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM29,Fungal diseases,pressure,N10,Coral reef condition,Coastal ecosystem condition,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM30,Coral reef,habitat,N10,Coral reef condition,Coastal ecosystem condition,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM31,Fish population,benefit,N14,Fish population / biomass,Biodiversity and ecological benefits,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM32,Construction material extraction,pressure,N23,Sand and construction-material extraction,Local human pressures,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM33,Birds,benefit,N15,Wildlife and charismatic fauna,Biodiversity and ecological benefits,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM34,SME,livelihood,N31,Alternative livelihood opportunities,"Governance, responses and resilience",retained_in_integrated_register,Curated semantic harmonisation from source-specific term to integrated node.
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM35,Seaweed farming,livelihood,N16,Seaweed production / yield,Livelihoods and well-being,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM36,Decline in seaweed yield,pressure,N16,Seaweed production / yield,Livelihoods and well-being,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM37,Algae blooming,pressure,N08,Sedimentation / turbidity,Coastal hazards and water quality,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM38,Effective conservation,governance,N27,Governance and enforcement effectiveness,"Governance, responses and resilience",retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM39,Cultural activities,benefit,N18,Tourism and cultural attractiveness,Livelihoods and well-being,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM40,"Stability, advertisement and attraction",livelihood,N18,Tourism and cultural attractiveness,Livelihoods and well-being,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM41,Number of farmers,livelihood,N16,Seaweed production / yield,Livelihoods and well-being,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM42,Legal framework and market,governance,N30,Seaweed market access and price,"Governance, responses and resilience",retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM43,Decrease in farming space,pressure,N25,Agricultural / farm expansion,Local human pressures,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM44,Sea turtles,benefit,N15,Wildlife and charismatic fauna,Biodiversity and ecological benefits,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM45,Whale shark,benefit,N15,Wildlife and charismatic fauna,Biodiversity and ecological benefits,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM46,Rufiji river discharge,driver,N05,Rufiji River discharge / runoff,Climate and ocean drivers,retained_in_integrated_register,Curated semantic harmonisation from source-specific term to integrated node.
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM47,Human population growth,driver,N26,Population growth / immigration,Local human pressures,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM48,Immigration,livelihood,N26,Population growth / immigration,Local human pressures,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM49,Faeces of bat,pressure,EXCLUDED,Not retained in integrated register,Not retained,not_retained_or_requires_review,Context-specific or ambiguous term not retained in the present integrated 32-node register; review if a finer-resolution model is required.
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM50,Sedimentation (local),hazard,N08,Sedimentation / turbidity,Coastal hazards and water quality,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
COM,community participatory CLD (Figure 2; confirmed attribution),CO01,Temperature rise,driver,N01,Ocean warming / temperature rise,Climate and ocean drivers,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
COM,community participatory CLD (Figure 2; confirmed attribution),CO02,Cyclone,driver,N06,"Cyclones, storm surge and wind shifts",Climate and ocean drivers,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
COM,community participatory CLD (Figure 2; confirmed attribution),CO03,Heavy rainfall,driver,N04,Extreme rainfall,Climate and ocean drivers,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
COM,community participatory CLD (Figure 2; confirmed attribution),CO04,Seawater salinity,driver,N07,Salinity intrusion / salinity change,Coastal hazards and water quality,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
COM,community participatory CLD (Figure 2; confirmed attribution),CO05,Freshwater intrusion,hazard,N07,Salinity intrusion / salinity change,Coastal hazards and water quality,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
COM,community participatory CLD (Figure 2; confirmed attribution),CO06,Coastal erosion,hazard,N09,Coastal erosion / beach and shoreline loss,Coastal hazards and water quality,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
COM,community participatory CLD (Figure 2; confirmed attribution),CO07,Coral bleaching,pressure,N10,Coral reef condition,Coastal ecosystem condition,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
COM,community participatory CLD (Figure 2; confirmed attribution),CO08,Loss of seaweed farms,pressure,N16,Seaweed production / yield,Livelihoods and well-being,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
COM,community participatory CLD (Figure 2; confirmed attribution),CO09,Sediment load,hazard,N08,Sedimentation / turbidity,Coastal hazards and water quality,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
COM,community participatory CLD (Figure 2; confirmed attribution),CO10,Mangrove loss,pressure,N12,Mangrove condition,Coastal ecosystem condition,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
COM,community participatory CLD (Figure 2; confirmed attribution),CO11,Coastal sand extraction,pressure,N23,Sand and construction-material extraction,Local human pressures,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
COM,community participatory CLD (Figure 2; confirmed attribution),CO12,Beaches decline,pressure,N09,Coastal erosion / beach and shoreline loss,Coastal hazards and water quality,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
COM,community participatory CLD (Figure 2; confirmed attribution),CO13,Coral mortality,pressure,N10,Coral reef condition,Coastal ecosystem condition,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
COM,community participatory CLD (Figure 2; confirmed attribution),CO14,Seagrass cover losses,pressure,N11,Seagrass condition,Coastal ecosystem condition,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
COM,community participatory CLD (Figure 2; confirmed attribution),CO15,Coastal forest cover,habitat,N13,Coastal forest condition,Coastal ecosystem condition,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
COM,community participatory CLD (Figure 2; confirmed attribution),CO16,Mangrove cover,habitat,N12,Mangrove condition,Coastal ecosystem condition,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
COM,community participatory CLD (Figure 2; confirmed attribution),CO17,Bait digging,pressure,N24,Bait digging / bait extraction,Local human pressures,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
COM,community participatory CLD (Figure 2; confirmed attribution),CO18,Establish protected forest,governance,N29,Habitat restoration and protection,"Governance, responses and resilience",retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
COM,community participatory CLD (Figure 2; confirmed attribution),CO19,Coral cover,habitat,N10,Coral reef condition,Coastal ecosystem condition,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
COM,community participatory CLD (Figure 2; confirmed attribution),CO20,Fish population,benefit,N14,Fish population / biomass,Biodiversity and ecological benefits,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
COM,community participatory CLD (Figure 2; confirmed attribution),CO21,Seaweed bleaching,pressure,N16,Seaweed production / yield,Livelihoods and well-being,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
COM,community participatory CLD (Figure 2; confirmed attribution),CO22,Decline seaweed yields,pressure,N16,Seaweed production / yield,Livelihoods and well-being,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
COM,community participatory CLD (Figure 2; confirmed attribution),CO23,Construction material extraction,pressure,N23,Sand and construction-material extraction,Local human pressures,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
COM,community participatory CLD (Figure 2; confirmed attribution),CO24,Construction of beach barriers,governance,N29,Habitat restoration and protection,"Governance, responses and resilience",retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
COM,community participatory CLD (Figure 2; confirmed attribution),CO25,Coral reef condition,habitat,N10,Coral reef condition,Coastal ecosystem condition,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
COM,community participatory CLD (Figure 2; confirmed attribution),CO26,Fish catch,livelihood,N17,Fish catch / CPUE,Livelihoods and well-being,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
COM,community participatory CLD (Figure 2; confirmed attribution),CO27,Seagrasses condition,habitat,N11,Seagrass condition,Coastal ecosystem condition,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
COM,community participatory CLD (Figure 2; confirmed attribution),CO28,Household income,livelihood,N19,Household income / employment,Livelihoods and well-being,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
