source,source_description,raw_node_id,raw_label,raw_domain_style
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM11,Sedimentation,hazard
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM12,Coastal forest cover,habitat
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM13,Seagrass cover,habitat
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM14,Mangrove cover decline,pressure
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM15,Small islands decline,hazard
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM16,Beaches and ruins,benefit
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM17,Farming activities,pressure
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM18,Indigenous trees,habitat
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM19,Coral cover decline,pressure
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM20,Mangrove,habitat
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM21,Mammals and reptiles,benefit
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM22,Tourism,livelihood
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM23,Political interference,governance
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM24,Illegal fishing practice,pressure
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM25,Coral bleaching,pressure
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM26,Bait extraction,pressure
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM27,Wildlife increase,benefit
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM28,Employment opportunities,livelihood
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM29,Fungal diseases,pressure
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM30,Coral reef,habitat
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM31,Fish population,benefit
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM32,Construction material extraction,pressure
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM33,Birds,benefit
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM34,SME,livelihood
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM35,Seaweed farming,livelihood
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM36,Decline in seaweed yield,pressure
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM37,Algae blooming,pressure
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM38,Effective conservation,governance
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM39,Cultural activities,benefit
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM40,"Stability, advertisement and attraction",livelihood
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM41,Number of farmers,livelihood
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM42,Legal framework and market,governance
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM43,Decrease in farming space,pressure
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM44,Sea turtles,benefit
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM45,Whale shark,benefit
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM46,Rufiji river discharge,driver
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM47,Human population growth,driver
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM48,Immigration,livelihood
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM49,Faeces of bat,pressure
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM50,Sedimentation (local),hazard
COM,community participatory CLD (Figure 2; confirmed attribution),CO01,Temperature rise,driver
COM,community participatory CLD (Figure 2; confirmed attribution),CO02,Cyclone,driver
COM,community participatory CLD (Figure 2; confirmed attribution),CO03,Heavy rainfall,driver
COM,community participatory CLD (Figure 2; confirmed attribution),CO04,Seawater salinity,driver
COM,community participatory CLD (Figure 2; confirmed attribution),CO05,Freshwater intrusion,hazard
COM,community participatory CLD (Figure 2; confirmed attribution),CO06,Coastal erosion,hazard
COM,community participatory CLD (Figure 2; confirmed attribution),CO07,Coral bleaching,pressure
COM,community participatory CLD (Figure 2; confirmed attribution),CO08,Loss of seaweed farms,pressure
COM,community participatory CLD (Figure 2; confirmed attribution),CO09,Sediment load,hazard
COM,community participatory CLD (Figure 2; confirmed attribution),CO10,Mangrove loss,pressure
COM,community participatory CLD (Figure 2; confirmed attribution),CO11,Coastal sand extraction,pressure
COM,community participatory CLD (Figure 2; confirmed attribution),CO12,Beaches decline,pressure
COM,community participatory CLD (Figure 2; confirmed attribution),CO13,Coral mortality,pressure
COM,community participatory CLD (Figure 2; confirmed attribution),CO14,Seagrass cover losses,pressure
COM,community participatory CLD (Figure 2; confirmed attribution),CO15,Coastal forest cover,habitat
COM,community participatory CLD (Figure 2; confirmed attribution),CO16,Mangrove cover,habitat
COM,community participatory CLD (Figure 2; confirmed attribution),CO17,Bait digging,pressure
COM,community participatory CLD (Figure 2; confirmed attribution),CO18,Establish protected forest,governance
COM,community participatory CLD (Figure 2; confirmed attribution),CO19,Coral cover,habitat
COM,community participatory CLD (Figure 2; confirmed attribution),CO20,Fish population,benefit
COM,community participatory CLD (Figure 2; confirmed attribution),CO21,Seaweed bleaching,pressure
COM,community participatory CLD (Figure 2; confirmed attribution),CO22,Decline seaweed yields,pressure
COM,community participatory CLD (Figure 2; confirmed attribution),CO23,Construction material extraction,pressure
COM,community participatory CLD (Figure 2; confirmed attribution),CO24,Construction of beach barriers,governance
COM,community participatory CLD (Figure 2; confirmed attribution),CO25,Coral reef condition,habitat
COM,community participatory CLD (Figure 2; confirmed attribution),CO26,Fish catch,livelihood
COM,community participatory CLD (Figure 2; confirmed attribution),CO27,Seagrasses condition,habitat
COM,community participatory CLD (Figure 2; confirmed attribution),CO28,Household income,livelihood
COM,community participatory CLD (Figure 2; confirmed attribution),CO29,Farm expansion,pressure
COM,community participatory CLD (Figure 2; confirmed attribution),CO30,Ruins,benefit
COM,community participatory CLD (Figure 2; confirmed attribution),CO31,Education and awareness campaign,governance
COM,community participatory CLD (Figure 2; confirmed attribution),CO32,Illegal fishing practices,pressure
COM,community participatory CLD (Figure 2; confirmed attribution),CO33,Economic motivation,livelihood
COM,community participatory CLD (Figure 2; confirmed attribution),CO34,Fishing pressure,pressure
COM,community participatory CLD (Figure 2; confirmed attribution),CO35,Human population growth,driver
COM,community participatory CLD (Figure 2; confirmed attribution),CO36,Tourism,livelihood
COM,community participatory CLD (Figure 2; confirmed attribution),CO37,Bribery,governance
COM,community participatory CLD (Figure 2; confirmed attribution),CO38,Ineffective MCS,governance
COM,community participatory CLD (Figure 2; confirmed attribution),CO39,Foreign fishers unaware of park regulations,governance
COM,community participatory CLD (Figure 2; confirmed attribution),CO40,Foreign fishers,pressure
COM,community participatory CLD (Figure 2; confirmed attribution),CO41,Effective enforcement,governance
COM,community participatory CLD (Figure 2; confirmed attribution),CO42,Beekeeping,livelihood
COM,community participatory CLD (Figure 2; confirmed attribution),CO43,Ocean current,driver
COM,community participatory CLD (Figure 2; confirmed attribution),CO44,Demand for illegally caught fish,livelihood
COM,community participatory CLD (Figure 2; confirmed attribution),CO45,Crimes and moral degradation,governance
COM,community participatory CLD (Figure 2; confirmed attribution),CO46,Overlap between VLC and village leaders,governance
COM,community participatory CLD (Figure 2; confirmed attribution),CO47,Lack of seaweed market,livelihood
COM,community participatory CLD (Figure 2; confirmed attribution),CO48,Low seaweed price,livelihood
