source,source_description,raw_link_id,from_raw_id,from_raw_label,to_raw_id,to_raw_label,polarity,polarity_description,transcription_status
EXP,expert-derived generic CLD,EXE39,EX41,Seagrass restoration,EX22,Seagrass cover,+,same-direction effect,supported
EXP,expert-derived generic CLD,EXE40,EX39,Coral restoration,EX21,Coral cover,+,same-direction effect,supported
EXP,expert-derived generic CLD,EXE41,EX32,Cumulative pressure,EX21,Coral cover,-,opposite-direction effect,supported
EXP,expert-derived generic CLD,EXE42,EX32,Cumulative pressure,EX22,Seagrass cover,-,opposite-direction effect,supported
EXP,expert-derived generic CLD,EXE43,EX32,Cumulative pressure,EX33,Fish biomass,-,opposite-direction effect,supported
EXP,expert-derived generic CLD,EXE44,EX42,Bait digging,EX23,Mangrove cover,-,opposite-direction effect,supported
EXP,expert-derived generic CLD,EXE45,EX43,Human population,EX28,Fishing effort,+,same-direction effect,supported
EXP,expert-derived generic CLD,EXE46,EX26,Rice farming,EX16,Sedimentation,+,same-direction effect,supported
EXP,expert-derived generic CLD,EXE47,EX28,Fishing effort,EX32,Cumulative pressure,+,same-direction effect,supported
EXP,expert-derived generic CLD,EXE48,EX38,Exposure,EX40,Sensitivity,+,same-direction effect,verify
EXP,expert-derived generic CLD,EXE49,EX40,Sensitivity,EX44,Climate resilience,-,opposite-direction effect,supported
EXP,expert-derived generic CLD,EXE50,EX35,Social well-being,EX44,Climate resilience,+,same-direction effect,supported
EXP,expert-derived generic CLD,EXE51,EX30,Mangrove restoration,EX35,Social well-being,+,same-direction effect,verify
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PME01,PM01,Wind speed,PM12,Coastal forest cover,-,opposite-direction effect,supported
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PME02,PM02,Temperature rise,PM25,Coral bleaching,+,same-direction effect,supported
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PME03,PM02,Temperature rise,PM03,Sea level rise,+,same-direction effect,verify
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PME04,PM03,Sea level rise,PM08,Spring tidal shift,+,same-direction effect,supported
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PME05,PM03,Sea level rise,PM09,Coastal erosion,+,same-direction effect,supported
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PME06,PM03,Sea level rise,PM14,Mangrove cover decline,+,same-direction effect,supported
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PME07,PM04,Changes in wind pattern,PM10,Sand deposition,+,same-direction effect,supported
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PME08,PM04,Changes in wind pattern,PM09,Coastal erosion,+,same-direction effect,supported
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PME09,PM05,Cyclones,PM09,Coastal erosion,+,same-direction effect,supported
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PME10,PM05,Cyclones,PM14,Mangrove cover decline,+,same-direction effect,verify
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PME11,PM05,Cyclones,PM36,Decline in seaweed yield,+,same-direction effect,supported
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PME12,PM06,Ocean salinity,PM36,Decline in seaweed yield,+,same-direction effect,verify
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PME13,PM07,Ocean acidification,PM19,Coral cover decline,+,same-direction effect,supported
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PME14,PM11,Sedimentation,PM13,Seagrass cover,-,opposite-direction effect,supported
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PME15,PM11,Sedimentation,PM19,Coral cover decline,+,same-direction effect,supported
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PME16,PM12,Coastal forest cover,PM09,Coastal erosion,-,opposite-direction effect,supported
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PME17,PM17,Farming activities,PM12,Coastal forest cover,-,opposite-direction effect,supported
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PME18,PM18,Indigenous trees,PM12,Coastal forest cover,+,same-direction effect,supported
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PME19,PM25,Coral bleaching,PM19,Coral cover decline,+,same-direction effect,supported
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PME20,PM29,Fungal diseases,PM19,Coral cover decline,+,same-direction effect,verify
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PME21,PM37,Algae blooming,PM36,Decline in seaweed yield,+,same-direction effect,verify
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PME22,PM19,Coral cover decline,PM30,Coral reef,-,opposite-direction effect,supported
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PME23,PM19,Coral cover decline,PM31,Fish population,-,opposite-direction effect,supported
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PME24,PM13,Seagrass cover,PM31,Fish population,+,same-direction effect,supported
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PME25,PM20,Mangrove,PM31,Fish population,+,same-direction effect,supported
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PME26,PM23,Political interference,PM24,Illegal fishing practice,+,same-direction effect,supported
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PME27,PM24,Illegal fishing practice,PM19,Coral cover decline,+,same-direction effect,supported
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PME28,PM24,Illegal fishing practice,PM31,Fish population,-,opposite-direction effect,supported
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PME29,PM26,Bait extraction,PM14,Mangrove cover decline,+,same-direction effect,supported
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PME30,PM32,Construction material extraction,PM14,Mangrove cover decline,+,same-direction effect,supported
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PME31,PM14,Mangrove cover decline,PM09,Coastal erosion,+,same-direction effect,supported
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PME32,PM14,Mangrove cover decline,PM27,Wildlife increase,-,opposite-direction effect,verify
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PME33,PM14,Mangrove cover decline,PM33,Birds,-,opposite-direction effect,verify
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PME34,PM09,Coastal erosion,PM16,Beaches and ruins,-,opposite-direction effect,supported
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PME35,PM10,Sand deposition,PM16,Beaches and ruins,+,same-direction effect,verify
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PME36,PM16,Beaches and ruins,PM22,Tourism,+,same-direction effect,supported
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PME37,PM27,Wildlife increase,PM22,Tourism,+,same-direction effect,supported
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PME38,PM21,Mammals and reptiles,PM22,Tourism,+,same-direction effect,supported
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PME39,PM33,Birds,PM22,Tourism,+,same-direction effect,supported
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PME40,PM39,Cultural activities,PM22,Tourism,+,same-direction effect,supported
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PME41,PM40,"Stability, advertisement and attraction",PM22,Tourism,+,same-direction effect,supported
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PME42,PM22,Tourism,PM28,Employment opportunities,+,same-direction effect,supported
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PME43,PM22,Tourism,PM34,SME,+,same-direction effect,supported
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PME44,PM38,Effective conservation,PM20,Mangrove,+,same-direction effect,supported
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PME45,PM38,Effective conservation,PM44,Sea turtles,+,same-direction effect,supported
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PME46,PM38,Effective conservation,PM45,Whale shark,+,same-direction effect,supported
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PME47,PM46,Rufiji river discharge,PM50,Sedimentation (local),+,same-direction effect,verify
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PME48,PM47,Human population growth,PM17,Farming activities,+,same-direction effect,supported
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PME49,PM47,Human population growth,PM32,Construction material extraction,+,same-direction effect,supported
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PME50,PM28,Employment opportunities,PM48,Immigration,+,same-direction effect,supported
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PME51,PM41,Number of farmers,PM35,Seaweed farming,+,same-direction effect,supported
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PME52,PM42,Legal framework and market,PM35,Seaweed farming,+,same-direction effect,supported
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PME53,PM36,Decline in seaweed yield,PM35,Seaweed farming,-,opposite-direction effect,supported
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PME54,PM43,Decrease in farming space,PM35,Seaweed farming,-,opposite-direction effect,verify
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PME55,PM49,Faeces of bat,PM27,Wildlife increase,+,same-direction effect,verify
COM,community participatory CLD (Figure 2; confirmed attribution),COE01,CO01,Temperature rise,CO07,Coral bleaching,+,same-direction effect,supported
COM,community participatory CLD (Figure 2; confirmed attribution),COE02,CO07,Coral bleaching,CO13,Coral mortality,+,same-direction effect,supported
COM,community participatory CLD (Figure 2; confirmed attribution),COE03,CO13,Coral mortality,CO19,Coral cover,-,opposite-direction effect,supported
COM,community participatory CLD (Figure 2; confirmed attribution),COE04,CO19,Coral cover,CO25,Coral reef condition,+,same-direction effect,supported
COM,community participatory CLD (Figure 2; confirmed attribution),COE05,CO19,Coral cover,CO20,Fish population,+,same-direction effect,supported
COM,community participatory CLD (Figure 2; confirmed attribution),COE06,CO20,Fish population,CO26,Fish catch,+,same-direction effect,supported
COM,community participatory CLD (Figure 2; confirmed attribution),COE07,CO26,Fish catch,CO28,Household income,+,same-direction effect,supported
COM,community participatory CLD (Figure 2; confirmed attribution),COE08,CO02,Cyclone,CO08,Loss of seaweed farms,+,same-direction effect,supported
COM,community participatory CLD (Figure 2; confirmed attribution),COE09,CO02,Cyclone,CO06,Coastal erosion,+,same-direction effect,supported
COM,community participatory CLD (Figure 2; confirmed attribution),COE10,CO02,Cyclone,CO19,Coral cover,-,opposite-direction effect,verify
COM,community participatory CLD (Figure 2; confirmed attribution),COE11,CO03,Heavy rainfall,CO09,Sediment load,+,same-direction effect,supported
COM,community participatory CLD (Figure 2; confirmed attribution),COE12,CO09,Sediment load,CO19,Coral cover,-,opposite-direction effect,supported
COM,community participatory CLD (Figure 2; confirmed attribution),COE13,CO09,Sediment load,CO14,Seagrass cover losses,+,same-direction effect,supported
COM,community participatory CLD (Figure 2; confirmed attribution),COE14,CO04,Seawater salinity,CO22,Decline seaweed yields,+,same-direction effect,supported
COM,community participatory CLD (Figure 2; confirmed attribution),COE15,CO05,Freshwater intrusion,CO22,Decline seaweed yields,+,same-direction effect,supported
COM,community participatory CLD (Figure 2; confirmed attribution),COE16,CO08,Loss of seaweed farms,CO22,Decline seaweed yields,+,same-direction effect,supported
COM,community participatory CLD (Figure 2; confirmed attribution),COE17,CO21,Seaweed bleaching,CO22,Decline seaweed yields,+,same-direction effect,supported
COM,community participatory CLD (Figure 2; confirmed attribution),COE18,CO22,Decline seaweed yields,CO28,Household income,-,opposite-direction effect,supported
COM,community participatory CLD (Figure 2; confirmed attribution),COE19,CO14,Seagrass cover losses,CO20,Fish population,-,opposite-direction effect,supported
COM,community participatory CLD (Figure 2; confirmed attribution),COE20,CO27,Seagrasses condition,CO20,Fish population,+,same-direction effect,supported
COM,community participatory CLD (Figure 2; confirmed attribution),COE21,CO10,Mangrove loss,CO20,Fish population,-,opposite-direction effect,supported
COM,community participatory CLD (Figure 2; confirmed attribution),COE22,CO16,Mangrove cover,CO20,Fish population,+,same-direction effect,supported
COM,community participatory CLD (Figure 2; confirmed attribution),COE23,CO11,Coastal sand extraction,CO10,Mangrove loss,+,same-direction effect,supported
COM,community participatory CLD (Figure 2; confirmed attribution),COE24,CO17,Bait digging,CO10,Mangrove loss,+,same-direction effect,supported
COM,community participatory CLD (Figure 2; confirmed attribution),COE25,CO23,Construction material extraction,CO10,Mangrove loss,+,same-direction effect,supported
COM,community participatory CLD (Figure 2; confirmed attribution),COE26,CO10,Mangrove loss,CO06,Coastal erosion,+,same-direction effect,supported
COM,community participatory CLD (Figure 2; confirmed attribution),COE27,CO11,Coastal sand extraction,CO12,Beaches decline,+,same-direction effect,supported
COM,community participatory CLD (Figure 2; confirmed attribution),COE28,CO06,Coastal erosion,CO12,Beaches decline,+,same-direction effect,supported
COM,community participatory CLD (Figure 2; confirmed attribution),COE29,CO24,Construction of beach barriers,CO12,Beaches decline,-,opposite-direction effect,verify
COM,community participatory CLD (Figure 2; confirmed attribution),COE30,CO12,Beaches decline,CO36,Tourism,-,opposite-direction effect,supported
COM,community participatory CLD (Figure 2; confirmed attribution),COE31,CO30,Ruins,CO36,Tourism,+,same-direction effect,supported
COM,community participatory CLD (Figure 2; confirmed attribution),COE32,CO36,Tourism,CO28,Household income,+,same-direction effect,supported
COM,community participatory CLD (Figure 2; confirmed attribution),COE33,CO47,Lack of seaweed market,CO28,Household income,-,opposite-direction effect,supported
COM,community participatory CLD (Figure 2; confirmed attribution),COE34,CO48,Low seaweed price,CO28,Household income,-,opposite-direction effect,supported
COM,community participatory CLD (Figure 2; confirmed attribution),COE35,CO32,Illegal fishing practices,CO20,Fish population,-,opposite-direction effect,supported
COM,community participatory CLD (Figure 2; confirmed attribution),COE36,CO34,Fishing pressure,CO20,Fish population,-,opposite-direction effect,supported
COM,community participatory CLD (Figure 2; confirmed attribution),COE37,CO44,Demand for illegally caught fish,CO32,Illegal fishing practices,+,same-direction effect,supported
COM,community participatory CLD (Figure 2; confirmed attribution),COE38,CO39,Foreign fishers unaware of park regulations,CO32,Illegal fishing practices,+,same-direction effect,supported
COM,community participatory CLD (Figure 2; confirmed attribution),COE39,CO38,Ineffective MCS,CO32,Illegal fishing practices,+,same-direction effect,supported
COM,community participatory CLD (Figure 2; confirmed attribution),COE40,CO37,Bribery,CO38,Ineffective MCS,+,same-direction effect,supported
COM,community participatory CLD (Figure 2; confirmed attribution),COE41,CO31,Education and awareness campaign,CO32,Illegal fishing practices,-,opposite-direction effect,supported
COM,community participatory CLD (Figure 2; confirmed attribution),COE42,CO41,Effective enforcement,CO32,Illegal fishing practices,-,opposite-direction effect,supported
COM,community participatory CLD (Figure 2; confirmed attribution),COE43,CO40,Foreign fishers,CO34,Fishing pressure,+,same-direction effect,supported
COM,community participatory CLD (Figure 2; confirmed attribution),COE44,CO33,Economic motivation,CO34,Fishing pressure,+,same-direction effect,supported
COM,community participatory CLD (Figure 2; confirmed attribution),COE45,CO28,Household income,CO33,Economic motivation,-,opposite-direction effect,verify
COM,community participatory CLD (Figure 2; confirmed attribution),COE46,CO35,Human population growth,CO34,Fishing pressure,+,same-direction effect,supported
COM,community participatory CLD (Figure 2; confirmed attribution),COE47,CO35,Human population growth,CO29,Farm expansion,+,same-direction effect,supported
COM,community participatory CLD (Figure 2; confirmed attribution),COE48,CO29,Farm expansion,CO15,Coastal forest cover,-,opposite-direction effect,supported
COM,community participatory CLD (Figure 2; confirmed attribution),COE49,CO18,Establish protected forest,CO15,Coastal forest cover,+,same-direction effect,supported
COM,community participatory CLD (Figure 2; confirmed attribution),COE50,CO15,Coastal forest cover,CO06,Coastal erosion,-,opposite-direction effect,supported
COM,community participatory CLD (Figure 2; confirmed attribution),COE51,CO46,Overlap between VLC and village leaders,CO41,Effective enforcement,-,opposite-direction effect,verify
COM,community participatory CLD (Figure 2; confirmed attribution),COE52,CO45,Crimes and moral degradation,CO37,Bribery,+,same-direction effect,verify
COM,community participatory CLD (Figure 2; confirmed attribution),COE53,CO42,Beekeeping,CO28,Household income,+,same-direction effect,verify
COM,community participatory CLD (Figure 2; confirmed attribution),COE54,CO43,Ocean current,CO27,Seagrasses condition,+,same-direction effect,verify
COM,community participatory CLD (Figure 2; confirmed attribution),COE55,CO32,Illegal fishing practices,CO19,Coral cover,-,opposite-direction effect,supported
