candidate_link_id,from_node_id,from_node,from_domain,to_node_id,to_node,to_domain,polarity,sources,n_sources,source_scope,n_raw_links,supporting_raw_link_ids,transcription_status,any_verification_flag,raw_relationships,polarity_conflict,review_priority,review_status,final_polarity,review_reason,evidence_status
CL017,N06,"Cyclones, storm surge and wind shifts",Climate and ocean drivers,N13,Coastal forest condition,Coastal ecosystem condition,-,PM,1,one source,1,PME01,supported,FALSE,PM: Wind speed -> Coastal forest cover,FALSE,moderate: single-source relationship,,-,,supported_in_transcribed_sources
CL018,N06,"Cyclones, storm surge and wind shifts",Climate and ocean drivers,N16,Seaweed production / yield,Livelihoods and well-being,+,PM; COM,2,two sources,2,COE08; PME11,supported,FALSE,COM: Cyclone -> Loss of seaweed farms | PM: Cyclones -> Decline in seaweed yield,FALSE,standard,,+,,supported_in_transcribed_sources
CL019,N07,Salinity intrusion / salinity change,Coastal hazards and water quality,N16,Seaweed production / yield,Livelihoods and well-being,+,PM; COM,2,two sources,3,COE14; COE15; PME12,supported; verify,TRUE,COM: Freshwater intrusion -> Decline seaweed yields | COM: Seawater salinity -> Decline seaweed yields | PM: Ocean salinity -> Decline in seaweed yield,TRUE,high: polarity conflict,,+,,requires_review
CL020,N07,Salinity intrusion / salinity change,Coastal hazards and water quality,N16,Seaweed production / yield,Livelihoods and well-being,-,EXP,1,one source,1,EXE24,verify,TRUE,EXP: Ocean salinity -> Seaweed farming,TRUE,high: polarity conflict,,-,,requires_review
CL021,N08,Sedimentation / turbidity,Coastal hazards and water quality,N10,Coral reef condition,Coastal ecosystem condition,+,PM,1,one source,1,PME15,supported,FALSE,PM: Sedimentation -> Coral cover decline,TRUE,high: polarity conflict,,+,,supported_in_transcribed_sources
CL022,N08,Sedimentation / turbidity,Coastal hazards and water quality,N10,Coral reef condition,Coastal ecosystem condition,-,EXP; COM,2,two sources,2,COE12; EXE21,supported,FALSE,COM: Sediment load -> Coral cover | EXP: Sedimentation -> Coral cover,TRUE,high: polarity conflict,,-,,supported_in_transcribed_sources
CL023,N08,Sedimentation / turbidity,Coastal hazards and water quality,N11,Seagrass condition,Coastal ecosystem condition,+,COM,1,one source,1,COE13,supported,FALSE,COM: Sediment load -> Seagrass cover losses,TRUE,high: polarity conflict,,+,,supported_in_transcribed_sources
CL024,N08,Sedimentation / turbidity,Coastal hazards and water quality,N11,Seagrass condition,Coastal ecosystem condition,-,EXP; PM,2,two sources,2,EXE22; PME14,supported,FALSE,EXP: Sedimentation -> Seagrass cover | PM: Sedimentation -> Seagrass cover,TRUE,high: polarity conflict,,-,,supported_in_transcribed_sources
CL025,N08,Sedimentation / turbidity,Coastal hazards and water quality,N16,Seaweed production / yield,Livelihoods and well-being,+,EXP; PM,2,two sources,2,EXE23; PME21,supported; verify,TRUE,EXP: Sedimentation -> Seaweed disease | PM: Algae blooming -> Decline in seaweed yield,FALSE,high: source transcription requires verification,,+,,requires_review
CL026,N09,Coastal erosion / beach and shoreline loss,Coastal hazards and water quality,N18,Tourism and cultural attractiveness,Livelihoods and well-being,+,PM,1,one source,1,PME35,verify,TRUE,PM: Sand deposition -> Beaches and ruins,TRUE,high: polarity conflict,,+,,requires_review
CL027,N09,Coastal erosion / beach and shoreline loss,Coastal hazards and water quality,N18,Tourism and cultural attractiveness,Livelihoods and well-being,-,PM; COM,2,two sources,2,COE30; PME34,supported,FALSE,COM: Beaches decline -> Tourism | PM: Coastal erosion -> Beaches and ruins,TRUE,high: polarity conflict,,-,,supported_in_transcribed_sources
CL028,N10,Coral reef condition,Coastal ecosystem condition,N14,Fish population / biomass,Biodiversity and ecological benefits,+,COM,1,one source,1,COE05,supported,FALSE,COM: Coral cover -> Fish population,TRUE,high: polarity conflict,,+,,supported_in_transcribed_sources
CL029,N10,Coral reef condition,Coastal ecosystem condition,N14,Fish population / biomass,Biodiversity and ecological benefits,-,PM,1,one source,1,PME23,supported,FALSE,PM: Coral cover decline -> Fish population,TRUE,high: polarity conflict,,-,,supported_in_transcribed_sources
CL030,N11,Seagrass condition,Coastal ecosystem condition,N14,Fish population / biomass,Biodiversity and ecological benefits,+,EXP; PM; COM,3,all three sources,3,COE20; EXE28; PME24,supported,FALSE,COM: Seagrasses condition -> Fish population | EXP: Seagrass cover -> Fish nurseries | PM: Seagrass cover -> Fish population,TRUE,high: polarity conflict,,+,,supported_in_transcribed_sources
CL031,N11,Seagrass condition,Coastal ecosystem condition,N14,Fish population / biomass,Biodiversity and ecological benefits,-,COM,1,one source,1,COE19,supported,FALSE,COM: Seagrass cover losses -> Fish population,TRUE,high: polarity conflict,,-,,supported_in_transcribed_sources
CL032,N12,Mangrove condition,Coastal ecosystem condition,N09,Coastal erosion / beach and shoreline loss,Coastal hazards and water quality,+,PM; COM,2,two sources,2,COE26; PME31,supported,FALSE,COM: Mangrove loss -> Coastal erosion | PM: Mangrove cover decline -> Coastal erosion,FALSE,standard,,+,,supported_in_transcribed_sources
CL033,N12,Mangrove condition,Coastal ecosystem condition,N14,Fish population / biomass,Biodiversity and ecological benefits,+,EXP; PM; COM,3,all three sources,3,COE22; EXE29; PME25,supported,FALSE,COM: Mangrove cover -> Fish population | EXP: Mangrove cover -> Fish nurseries | PM: Mangrove -> Fish population,TRUE,high: polarity conflict,,+,,supported_in_transcribed_sources
CL034,N12,Mangrove condition,Coastal ecosystem condition,N14,Fish population / biomass,Biodiversity and ecological benefits,-,COM,1,one source,1,COE21,supported,FALSE,COM: Mangrove loss -> Fish population,TRUE,high: polarity conflict,,-,,supported_in_transcribed_sources
CL035,N12,Mangrove condition,Coastal ecosystem condition,N15,Wildlife and charismatic fauna,Biodiversity and ecological benefits,-,PM,1,one source,2,PME32; PME33,verify,TRUE,PM: Mangrove cover decline -> Birds | PM: Mangrove cover decline -> Wildlife increase,FALSE,high: source transcription requires verification,,-,,requires_review
CL036,N13,Coastal forest condition,Coastal ecosystem condition,N09,Coastal erosion / beach and shoreline loss,Coastal hazards and water quality,-,PM; COM,2,two sources,2,COE50; PME16,supported,FALSE,COM: Coastal forest cover -> Coastal erosion | PM: Coastal forest cover -> Coastal erosion,FALSE,standard,,-,,supported_in_transcribed_sources
CL037,N14,Fish population / biomass,Biodiversity and ecological benefits,N17,Fish catch / CPUE,Livelihoods and well-being,+,EXP; COM,2,two sources,2,COE06; EXE32,supported,FALSE,COM: Fish population -> Fish catch | EXP: Fish biomass -> CPUE,FALSE,standard,,+,,supported_in_transcribed_sources
CL038,N15,Wildlife and charismatic fauna,Biodiversity and ecological benefits,N18,Tourism and cultural attractiveness,Livelihoods and well-being,+,PM,1,one source,3,PME37; PME38; PME39,supported,FALSE,PM: Birds -> Tourism | PM: Mammals and reptiles -> Tourism | PM: Wildlife increase -> Tourism,FALSE,moderate: single-source relationship,,+,,supported_in_transcribed_sources
CL039,N16,Seaweed production / yield,Livelihoods and well-being,N19,Household income / employment,Livelihoods and well-being,-,COM,1,one source,1,COE18,supported,FALSE,COM: Decline seaweed yields -> Household income,FALSE,moderate: single-source relationship,,-,,supported_in_transcribed_sources
CL040,N16,Seaweed production / yield,Livelihoods and well-being,N20,Social well-being,Livelihoods and well-being,+,EXP,1,one source,1,EXE34,supported,FALSE,EXP: Seaweed production -> Social well-being,FALSE,moderate: single-source relationship,,+,,supported_in_transcribed_sources
CL041,N17,Fish catch / CPUE,Livelihoods and well-being,N19,Household income / employment,Livelihoods and well-being,+,COM,1,one source,1,COE07,supported,FALSE,COM: Fish catch -> Household income,FALSE,moderate: single-source relationship,,+,,supported_in_transcribed_sources
CL042,N17,Fish catch / CPUE,Livelihoods and well-being,N20,Social well-being,Livelihoods and well-being,+,EXP,1,one source,1,EXE33,supported,FALSE,EXP: CPUE -> Social well-being,FALSE,moderate: single-source relationship,,+,,supported_in_transcribed_sources
CL043,N18,Tourism and cultural attractiveness,Livelihoods and well-being,N19,Household income / employment,Livelihoods and well-being,+,PM; COM,2,two sources,2,COE32; PME42,supported,FALSE,COM: Tourism -> Household income | PM: Tourism -> Employment opportunities,FALSE,standard,,+,,supported_in_transcribed_sources
CL044,N18,Tourism and cultural attractiveness,Livelihoods and well-being,N20,Social well-being,Livelihoods and well-being,+,EXP,1,one source,1,EXE35,supported,FALSE,EXP: Tourism -> Social well-being,FALSE,moderate: single-source relationship,,+,,supported_in_transcribed_sources
CL045,N18,Tourism and cultural attractiveness,Livelihoods and well-being,N31,Alternative livelihood opportunities,"Governance, responses and resilience",+,PM,1,one source,1,PME43,supported,FALSE,PM: Tourism -> SME,FALSE,moderate: single-source relationship,,+,,supported_in_transcribed_sources
CL046,N19,Household income / employment,Livelihoods and well-being,N21,Fishing pressure / effort,Local human pressures,+,COM,1,one source,1,COE44,supported,FALSE,COM: Economic motivation -> Fishing pressure,FALSE,moderate: single-source relationship,,+,,supported_in_transcribed_sources
CL047,N19,Household income / employment,Livelihoods and well-being,N26,Population growth / immigration,Local human pressures,+,PM,1,one source,1,PME50,supported,FALSE,PM: Employment opportunities -> Immigration,FALSE,moderate: single-source relationship,,+,,supported_in_transcribed_sources
CL048,N20,Social well-being,Livelihoods and well-being,N32,Climate resilience / adaptive capacity,"Governance, responses and resilience",+,EXP,1,one source,1,EXE50,supported,FALSE,EXP: Social well-being -> Climate resilience,FALSE,moderate: single-source relationship,,+,,supported_in_transcribed_sources
CL049,N21,Fishing pressure / effort,Local human pressures,N14,Fish population / biomass,Biodiversity and ecological benefits,-,EXP; COM,2,two sources,2,COE36; EXE31,supported,FALSE,COM: Fishing pressure -> Fish population | EXP: Fishing effort -> Fish biomass,FALSE,standard,,-,,supported_in_transcribed_sources
CL050,N22,Illegal / unregulated fishing,Local human pressures,N10,Coral reef condition,Coastal ecosystem condition,+,PM,1,one source,1,PME27,supported,FALSE,PM: Illegal fishing practice -> Coral cover decline,TRUE,high: polarity conflict,,+,,supported_in_transcribed_sources
CL051,N22,Illegal / unregulated fishing,Local human pressures,N10,Coral reef condition,Coastal ecosystem condition,-,COM,1,one source,1,COE55,supported,FALSE,COM: Illegal fishing practices -> Coral cover,TRUE,high: polarity conflict,,-,,supported_in_transcribed_sources
CL052,N22,Illegal / unregulated fishing,Local human pressures,N14,Fish population / biomass,Biodiversity and ecological benefits,-,PM; COM,2,two sources,2,COE35; PME28,supported,FALSE,COM: Illegal fishing practices -> Fish population | PM: Illegal fishing practice -> Fish population,FALSE,standard,,-,,supported_in_transcribed_sources
CL053,N22,Illegal / unregulated fishing,Local human pressures,N21,Fishing pressure / effort,Local human pressures,+,COM,1,one source,1,COE43,supported,FALSE,COM: Foreign fishers -> Fishing pressure,FALSE,moderate: single-source relationship,,+,,supported_in_transcribed_sources
CL054,N23,Sand and construction-material extraction,Local human pressures,N09,Coastal erosion / beach and shoreline loss,Coastal hazards and water quality,+,COM,1,one source,1,COE27,supported,FALSE,COM: Coastal sand extraction -> Beaches decline,FALSE,moderate: single-source relationship,,+,,supported_in_transcribed_sources
CL055,N23,Sand and construction-material extraction,Local human pressures,N12,Mangrove condition,Coastal ecosystem condition,+,PM; COM,2,two sources,3,COE23; COE25; PME30,supported,FALSE,COM: Coastal sand extraction -> Mangrove loss | COM: Construction material extraction -> Mangrove loss | PM: Construction material extraction -> Mangrove cover decline,FALSE,standard,,+,,supported_in_transcribed_sources
CL056,N24,Bait digging / bait extraction,Local human pressures,N12,Mangrove condition,Coastal ecosystem condition,+,PM; COM,2,two sources,2,COE24; PME29,supported,FALSE,COM: Bait digging -> Mangrove loss | PM: Bait extraction -> Mangrove cover decline,TRUE,high: polarity conflict,,+,,supported_in_transcribed_sources
CL057,N24,Bait digging / bait extraction,Local human pressures,N12,Mangrove condition,Coastal ecosystem condition,-,EXP,1,one source,1,EXE44,supported,FALSE,EXP: Bait digging -> Mangrove cover,TRUE,high: polarity conflict,,-,,supported_in_transcribed_sources
CL058,N25,Agricultural / farm expansion,Local human pressures,N08,Sedimentation / turbidity,Coastal hazards and water quality,+,EXP,1,one source,1,EXE46,supported,FALSE,EXP: Rice farming -> Sedimentation,FALSE,moderate: single-source relationship,,+,,supported_in_transcribed_sources
CL059,N25,Agricultural / farm expansion,Local human pressures,N13,Coastal forest condition,Coastal ecosystem condition,-,PM; COM,2,two sources,2,COE48; PME17,supported,FALSE,COM: Farm expansion -> Coastal forest cover | PM: Farming activities -> Coastal forest cover,FALSE,standard,,-,,supported_in_transcribed_sources
CL060,N25,Agricultural / farm expansion,Local human pressures,N16,Seaweed production / yield,Livelihoods and well-being,-,PM,1,one source,1,PME54,verify,TRUE,PM: Decrease in farming space -> Seaweed farming,FALSE,high: source transcription requires verification,,-,,requires_review
CL061,N26,Population growth / immigration,Local human pressures,N21,Fishing pressure / effort,Local human pressures,+,EXP; COM,2,two sources,2,COE46; EXE45,supported,FALSE,COM: Human population growth -> Fishing pressure | EXP: Human population -> Fishing effort,FALSE,standard,,+,,supported_in_transcribed_sources
CL062,N26,Population growth / immigration,Local human pressures,N23,Sand and construction-material extraction,Local human pressures,+,PM,1,one source,1,PME49,supported,FALSE,PM: Human population growth -> Construction material extraction,FALSE,moderate: single-source relationship,,+,,supported_in_transcribed_sources
CL063,N26,Population growth / immigration,Local human pressures,N25,Agricultural / farm expansion,Local human pressures,+,PM; COM,2,two sources,2,COE47; PME48,supported,FALSE,COM: Human population growth -> Farm expansion | PM: Human population growth -> Farming activities,FALSE,standard,,+,,supported_in_transcribed_sources
CL064,N27,Governance and enforcement effectiveness,"Governance, responses and resilience",N12,Mangrove condition,Coastal ecosystem condition,+,PM,1,one source,1,PME44,supported,FALSE,PM: Effective conservation -> Mangrove,FALSE,moderate: single-source relationship,,+,,supported_in_transcribed_sources
CL065,N27,Governance and enforcement effectiveness,"Governance, responses and resilience",N15,Wildlife and charismatic fauna,Biodiversity and ecological benefits,+,PM,1,one source,2,PME45; PME46,supported,FALSE,PM: Effective conservation -> Sea turtles | PM: Effective conservation -> Whale shark,FALSE,moderate: single-source relationship,,+,,supported_in_transcribed_sources
CL066,N27,Governance and enforcement effectiveness,"Governance, responses and resilience",N22,Illegal / unregulated fishing,Local human pressures,+,PM; COM,2,two sources,2,COE39; PME26,supported,FALSE,COM: Ineffective MCS -> Illegal fishing practices | PM: Political interference -> Illegal fishing practice,TRUE,high: polarity conflict,,+,,supported_in_transcribed_sources
CL067,N27,Governance and enforcement effectiveness,"Governance, responses and resilience",N22,Illegal / unregulated fishing,Local human pressures,-,COM,1,one source,1,COE42,supported,FALSE,COM: Effective enforcement -> Illegal fishing practices,TRUE,high: polarity conflict,,-,,supported_in_transcribed_sources
CL068,N28,Education and awareness,"Governance, responses and resilience",N22,Illegal / unregulated fishing,Local human pressures,-,COM,1,one source,1,COE41,supported,FALSE,COM: Education and awareness campaign -> Illegal fishing practices,FALSE,moderate: single-source relationship,,-,,supported_in_transcribed_sources
CL069,N29,Habitat restoration and protection,"Governance, responses and resilience",N09,Coastal erosion / beach and shoreline loss,Coastal hazards and water quality,-,COM,1,one source,1,COE29,verify,TRUE,COM: Construction of beach barriers -> Beaches decline,FALSE,high: source transcription requires verification,,-,,requires_review
CL070,N29,Habitat restoration and protection,"Governance, responses and resilience",N10,Coral reef condition,Coastal ecosystem condition,+,EXP,1,one source,1,EXE40,supported,FALSE,EXP: Coral restoration -> Coral cover,FALSE,moderate: single-source relationship,,+,,supported_in_transcribed_sources
CL071,N29,Habitat restoration and protection,"Governance, responses and resilience",N11,Seagrass condition,Coastal ecosystem condition,+,EXP,1,one source,1,EXE39,supported,FALSE,EXP: Seagrass restoration -> Seagrass cover,FALSE,moderate: single-source relationship,,+,,supported_in_transcribed_sources
CL072,N29,Habitat restoration and protection,"Governance, responses and resilience",N12,Mangrove condition,Coastal ecosystem condition,+,EXP,1,one source,1,EXE38,supported,FALSE,EXP: Mangrove restoration -> Mangrove cover,FALSE,moderate: single-source relationship,,+,,supported_in_transcribed_sources
CL073,N29,Habitat restoration and protection,"Governance, responses and resilience",N13,Coastal forest condition,Coastal ecosystem condition,+,COM,1,one source,1,COE49,supported,FALSE,COM: Establish protected forest -> Coastal forest cover,FALSE,moderate: single-source relationship,,+,,supported_in_transcribed_sources
CL074,N29,Habitat restoration and protection,"Governance, responses and resilience",N20,Social well-being,Livelihoods and well-being,+,EXP,1,one source,1,EXE51,verify,TRUE,EXP: Mangrove restoration -> Social well-being,FALSE,high: source transcription requires verification,,+,,requires_review
CL075,N30,Seaweed market access and price,"Governance, responses and resilience",N16,Seaweed production / yield,Livelihoods and well-being,+,PM,1,one source,1,PME52,supported,FALSE,PM: Legal framework and market -> Seaweed farming,FALSE,moderate: single-source relationship,,+,,supported_in_transcribed_sources
CL076,N30,Seaweed market access and price,"Governance, responses and resilience",N19,Household income / employment,Livelihoods and well-being,-,COM,1,one source,2,COE33; COE34,supported,FALSE,COM: Lack of seaweed market -> Household income | COM: Low seaweed price -> Household income,FALSE,moderate: single-source relationship,,-,,supported_in_transcribed_sources
CL077,N31,Alternative livelihood opportunities,"Governance, responses and resilience",N19,Household income / employment,Livelihoods and well-being,+,COM,1,one source,1,COE53,verify,TRUE,COM: Beekeeping -> Household income,FALSE,high: source transcription requires verification,,+,,requires_review
CL078,N31,Alternative livelihood opportunities,"Governance, responses and resilience",N20,Social well-being,Livelihoods and well-being,+,EXP,1,one source,2,EXE36; EXE37,supported,FALSE,EXP: Beekeeping -> Social well-being | EXP: Sea cucumber farming -> Social well-being,FALSE,moderate: single-source relationship,,+,,supported_in_transcribed_sources
